Question,Answer
What are the criteria of getting a good placements?,You should have a GPA greater than 6 for most companies but few companies require above 7 GPA.
How the placement exams are being conducted?,"Placement exams depend on the companies participating in the placement drive. Typically, they include an online test with logical, aptitude, reasoning, and coding questions. Some companies may also have a group discussion (GD) round or proceed directly to interviews."
How studies and placement preparation can be managed in a time?,"Attend classes regularly and complete the homework and assignments given by your professor diligently. For placements, attend the TnP placement sessions consistently and practice basic coding questions regularly."
What is the basic requirements to get 6+ LPA?,Build a strong foundation in the subjects you studied during your course and work on additional projects beyond those required for your degree. Focus on developing skills relevant to the domain you want to work in.
How many rounds companies will have? Or how can I be prepared for each round?,"That’s subjective to the company mostly. But most of the companies conduct 2 rounds of interviews (technical + HR). For technical, have a good grasp on the subjects. For HR TnP will have classes."
I have only done courses and not done any internship how badly it affects during my placement time ?,It’ll not affect much however internship experience would have been more appreciated by the company and would have exhibited your ability to work in a professional setting.
	I have not received my superset access,"Kindly reach out to your mentor for further guidance. However, based on previous circumstances, it appears that your fees for the current semester may not have been paid."
Level of questions asked in technical interview?,"Basic to Medium level, but mostly the question will be based on your CV, so be careful with what you mention there"
"For Vlsi domain which subjects should we focus more?","Digital Logic Design ,Semiconductor Physics,VLSI Design,Analog VLSI, CMOS Technology, Signal Processing, Electronic Devices,Microelectronics, Circuit Design, System on Chip (SoC) Design, Embedded Systems,Verilog/VHDL,FPGA Design,VLSI Testing,CAD Tools,Power Electronics
"
Do programming language required for that and how much?,"Yes these are the ones you should know: Verilog,VHDL,SystemVerilog,Python,TCL,Perl,C/C++
"
Number of core companies came till now?,"Varies each and every year, depends on the requirements"
 Level of project needed?,It should reflect innovation. There’s no actual level to that.
" If someone not able to crack internship and for placement they have only project, will it be sufficient for placement?","An internship shows you have experience with how things work in a corporate environment. If you only have project experience, it will depend on the scope of your project and the software or tools you used. I recommend completing a certification course to add more value to your CV."
